F1,F2,F3,F4,F5
461,734,2008,2594,3820
461,734,1914,2852,3953
461,742,1898,2867,3789
0,664,1844,2664,3820
797,2047,2516,3164,3867
813,2102,2617,3164,3711
781,2258,2695,3086,4250
711,1578,2086,3023,4016
305,2133,2594,3047,3969
391,1695,2781,3102,4219
391,1625,2023,3055,4094
367,1609,2836,3188,3922
359,1672,2125,3055,4195
367,1641,2125,3039,4156
352,1625,2141,3242,4156
383,1617,2109,3094,4117
422,1594,2047,3188,4086
344,1570,2047,3133,4000
375,1563,2867,4094,4734
383,1563,2633,3125,4109
383,1539,3141,4102,4820
383,1547,3148,4109,4820
414,1563,3086,4109,4648
375,1531,3125,4133,4648
367,1523,3109,4164,4484
438,1586,3070,4125,4484
445,1602,2648,3023,4070
375,1570,2656,3117,4102
422,1617,2656,3094,4039
422,1609,2727,3094,4102
391,1594,2484,3086,4125
391,1547,2484,3000,4047
234,1492,2313,2703,2945
414,1477,1992,2805,3820
469,2266,2945,3844,4523
508,1516,2227,4016,4438
656,1445,2156,2594,3906
672,1445,2016,2617,3867
695,1508,2180,2555,4023
680,1633,2094,2672,4023
688,2195,2672,3688,4250
711,2039,2789,3953,4492
594,2016,2680,3164,3922
633,2031,2664,3242,3898
609,2141,2719,3211,4047
680,1930,2648,3859,4867
633,1844,2633,3859,4875
445,1781,2820,3859,4758
445,1648,2781,4164,4664
484,1445,2734,4094,4664
398,1445,2742,3867,4273
406,1656,2758,3930,4273
383,875,2742,4148,4508
383,875,2867,3766,4461
383,906,1602,2820,4438
414,1414,2172,2766,3344
563,2188,2703,3516,4516
586,2094,2734,3875,4430
578,1492,2781,4141,4586
578,1602,2891,3977,4563
555,1680,2891,3906,4586
563,1695,2930,3328,4648
563,1688,2992,3555,4789
609,1672,2930,3523,4086
555,1688,3391,4523,4781
539,2047,2688,3266,3859
500,2016,2758,3789,4555
555,2039,2773,3203,4234
594,1953,3094,4063,4531
609,1984,3094,4109,4422
625,1672,2117,3195,4180
648,1969,2703,3211,4117
625,1836,3078,4063,4406
641,1688,2531,3133,3992
641,1703,2523,3188,4078
672,1656,2766,3125,4047
688,1641,2695,3102,3977
672,1625,2563,3180,3969
508,1633,2563,2828,3180
531,1734,2828,3180,4094
516,1766,2734,3281,4172
547,2211,2734,3188,3898
539,2141,2789,3250,4016
555,2180,2836,3281,4516
547,1625,2883,3297,4516
539,1586,2898,3297,4617
516,1594,2797,4203,4383
305,1625,2688,4039,4383
453,1469,2703,3813,4641
461,1523,2727,3797,4805
508,1555,1961,2609,3734
516,1391,2125,2656,3773
672,1445,2094,2789,3914
617,1469,2148,2789,3859
547,1258,2133,2664,3875
586,1484,2664,3961,4516
414,1484,2703,4094,4602
461,1602,2742,4086,4609
484,1617,2273,2711,4320
445,1711,2273,2695,4289
445,1680,2266,2711,4289
602,1664,2125,2797,4164
547,1758,2703,3922,4406
563,1758,2750,3906,4430
531,1914,2664,3523,4375
398,1898,2766,3523,4430
391,2820,3438,4141,4805
289,1906,2781,4039,4906
383,2500,2813,3875,4563
500,1539,2063,2703,4469
625,1531,2063,3875,4469
641,1492,2039,3805,4430
563,2023,2758,3820,4492
570,1422,2070,2750,3852
570,1406,2148,3828,4156
617,2031,2750,3000,3719
625,1992,2742,3086,3977
617,1398,2008,3711,4250
609,2000,2766,3719,4250
758,1336,1992,3008,4250
398,781,2016,3078,4031
375,2055,3016,3961,4188
438,2109,3188,4047,4227
461,2109,2719,3086,3992
453,2164,2625,3156,4031
461,2148,2820,3203,3992
453,2172,3055,4016,4906
477,2188,3148,3961,4906
469,2672,3063,3953,4906
469,2766,2992,3961,4836
461,2781,3070,3844,4758
469,2320,3070,4000,4836
469,2320,3117,4031,4820
477,2398,3141,3773,4820
453,3117,3898,4367,4641
445,3117,3938,4352,4641
359,2078,3203,3984,4391
305,1695,2297,3219,3977
375,2242,2625,3281,3844
352,1586,2250,2625,3797
398,1586,2242,2633,3852
375,2266,2586,3258,3813
406,2203,2688,3164,3828
406,2227,2617,3766,4000
0,391,2164,2656,3992
406,2164,2695,3766,4008
383,2055,2625,3805,4086
