F1,F2,F3,F4,F5
719,1422,2211,4000,4688
719,1508,1953,2766,4281
680,1563,1953,2773,4242
672,1563,1938,2883,4313
563,852,1930,2758,4375
594,1367,1938,2961,4461
688,1367,2016,3016,4508
547,1406,2008,2758,4352
547,1406,1977,2883,4352
539,1406,1859,2555,4445
531,1945,2398,2789,4461
430,1898,2313,2648,4563
500,1898,2445,4219,4563
688,1914,2992,4219,4578
688,1898,2609,2914,4289
609,1570,2609,3195,4328
469,1531,2141,2859,4531
352,1555,2500,3258,4461
211,1570,2625,3250,4758
414,1609,2539,3313,4617
531,1563,2578,3313,4633
648,1125,1578,3328,4398
1078,1656,2336,3359,4430
938,1641,2828,3336,4570
938,1359,2781,3305,4625
938,1516,2836,3273,4813
891,1672,2430,3172,4484
1859,2430,3320,4102,4539
1688,2352,3039,4156,4805
1266,2109,2828,3594,4234
1547,2820,3492,4383,4820
875,1375,2758,3594,4359
875,1313,2695,3492,4516
1078,1891,2617,4258,4516
648,1992,3227,3891,4641
594,2016,3242,3844,4586
578,2039,2922,3859,4523
805,2078,3172,3773,4586
711,2063,3039,3875,4570
680,1969,3078,4117,4578
859,1969,3242,4211,4789
875,1992,3352,4250,4938
1023,1883,3117,3438,3883
953,1922,3117,3883,4305
1070,1664,1906,3180,3938
1109,1813,2984,3359,3914
1094,1641,2000,3359,4117
828,1102,1875,2906,3289
766,1172,1883,3016,4172
992,1906,3078,4172,4523
961,1875,2922,4453,4844
914,1898,2984,3492,4641
883,1891,2914,3734,4430
367,898,1898,3227,4648
805,1773,2914,3961,4609
398,1766,2797,4195,4648
336,1813,2500,4141,4852
664,1938,2383,3039,3273
570,2047,3047,3844,4336
727,2070,2883,3852,4352
695,2047,2789,3883,4453
328,2031,2766,3344,4523
313,1898,2703,3500,4578
1672,2867,3289,4273,4734
1648,2734,3289,3867,4742
1578,2617,3289,3805,4703
1555,2695,3266,4445,4875
891,1766,2828,3891,4555
1984,2875,3898,4469,4750
727,1570,3867,4484,4742
742,1609,2078,4266,4742
734,1625,2914,4242,4586
1203,1625,2188,3219,4242
1195,1492,2172,3023,4227
1195,2250,3031,4125,4484
1164,1547,2250,2906,4664
297,1164,2906,4016,4758
1531,2656,3195,4352,4570
359,680,1648,3219,4367
281,813,1594,3281,4523
492,1680,3086,3984,4906
508,1680,2563,4047,4906
453,1742,2594,3016,4477
516,1883,3000,3898,4453
539,1969,2992,3898,4406
500,1992,2141,2961,2992
508,1961,2047,2961,4313
547,2086,2805,4063,4688
344,2055,3086,4008,4547
555,2070,2992,4109,4828
477,1383,2063,3109,3836
305,1305,2250,3102,4477
859,2273,2797,3320,4625
1148,1625,2227,2594,4305
625,1570,2023,2672,4313
820,1570,1609,1961,4531
859,1609,2141,2594,4398
602,1602,2547,4242,4781
586,1578,2219,3195,4406
430,1578,2164,2984,4422
648,1547,2148,2984,4305
570,1508,2133,2984,4438
500,1508,2125,2898,3203
547,1508,2148,2781,4305
516,1578,2336,2977,4406
477,1531,2578,3102,4422
391,1156,2641,3102,4453
406,1641,2703,3070,4398
320,1297,1641,2703,3070
516,1047,2938,4250,4664
438,1047,2922,4250,4758
1102,2859,3352,4344,4875
992,1547,2914,3570,4516
586,1352,2070,2992,4492
586,1898,2156,3227,4438
578,1656,2164,3281,4320
367,1578,2164,3258,4406
719,2703,3281,3875,4422
406,727,2641,3211,4430
391,1383,2664,3852,4422
383,1008,2656,3805,4391
391,945,1313,2828,4094
375,945,2813,3938,4484
344,969,1930,2828,4273
383,859,1750,2781,3469
805,1938,2508,3469,3938
867,1867,2453,2836,3508
719,1891,2891,3805,4688
453,1953,2906,3891,4734
445,813,1945,2992,4164
523,813,1922,3117,3969
477,1789,3109,3945,4828
484,1688,3117,3766,4727
477,1656,3086,3766,4688
656,1625,3133,3727,4578
664,1594,3180,3891,4648
750,1578,3227,3898,4523
758,1531,3234,4453,4805
461,1477,2867,3172,4461
453,1508,2688,3289,3867
438,1578,3164,3805,4773
422,1484,2922,3891,4836
414,1539,3070,3891,4211
445,1531,1539,2430,4195
445,1531,2438,3336,3945
1602,2375,3250,3945,4367
1570,2141,2953,3250,4203
703,1508,2492,2906,4336
1688,2789,3086,4242,4797
797,1625,3000,4344,4797
797,1625,3219,3813,4844
820,1586,3023,3938,4273
609,1547,2977,3891,4219
859,1570,3070,3891,4727
758,1547,3078,3938,4859
648,1633,3070,4266,4836
594,1664,1961,3063,4305
703,1961,3063,4328,4875
688,1750,2195,3031,4289
695,1641,2195,3031,4359
641,1586,3031,4359,4938
773,1594,3141,4414,4930
781,1781,3000,4500,4891
797,1828,2992,3703,4477
570,1750,2922,3820,4555
547,1750,2898,3836,4438
219,914,1852,2656,4375
211,906,1836,2664,4461
86,867,1953,2734,4430
94,898,2063,2617,4430
94,852,2906,3289,4438
172,914,2828,3234,4203
648,2438,3234,3867,4500
641,2328,3250,3883,4523
594,1836,3008,3859,4531
805,1781,3125,4031,4484
859,1758,3055,3852,4547
734,1953,3055,3852,4570
867,1672,1969,3055,4523
938,1672,2023,3047,4523
758,1898,3047,3797,4719
828,1875,3008,3797,4484
969,1984,3023,3797,4484
1000,1922,3133,3922,4578
930,1922,3141,3844,4539
938,1695,1922,3156,4500
734,1750,3266,3984,4586
695,1719,3133,3406,4570
828,1688,2547,3078,4781
609,1570,2336,3156,4391
750,1609,3430,4047,4641
742,1672,3047,4047,4852
563,1664,1992,3273,4266
742,1516,2766,3313,4758
1547,2242,2758,3211,3875
914,1547,3125,4375,4711
1602,3141,3789,4141,4852
156,1117,1555,3031,4297
148,1453,2891,3523,4500
148,1625,3016,3797,4883
1781,2828,3773,4289,4828
172,1594,2820,3859,4844
1586,2828,3867,4086,4906
242,1602,2820,4016,4781
242,1570,2797,3836,4602
242,1586,2672,3836,4820
1141,1664,2805,3945,4875
1086,1664,2797,3953,4695
1133,1867,2852,3891,4641
1094,1820,2805,4039,4219
1039,1703,2859,3992,4297
1109,1648,2867,3883,4391
1141,1727,3063,3820,4609
